date,open,high,low,close,volume,oi
2025-02-07T00:00:00+05:30,23668.5,23781,23475,23506,0,0
2025-02-10T00:00:00+05:30,23579,23602.5,23373.5,23492.5,0,0
2025-02-11T00:00:00+05:30,23492.5,23500,23045.5,23183,0,0
2025-02-12T00:00:00+05:30,23183,23226.5,22881,23072.5,0,0
2025-02-13T00:00:00+05:30,23072.5,23298.5,23050,23196,0,0
2025-02-14T00:00:00+05:30,23196,23217,22832,22949,0,0
2025-02-17T00:00:00+05:30,22949,23058,22820,23027,0,0
2025-02-18T00:00:00+05:30,23027,23067.5,22826,22968,0,0
2025-02-19T00:00:00+05:30,22968,23093,22872,22945.5,0,0
2025-02-20T00:00:00+05:30,22945.5,22964,22840,22906.5,0,0
2025-02-21T00:00:00+05:30,22906.5,22931.5,22601,22617.5,0,0
2025-02-24T00:00:00+05:30,22653.5,22714,22525,22586,0,0
2025-02-25T00:00:00+05:30,22586,22674,22552.5,22668,0,0
2025-02-26T00:00:00+05:30,22668,22678,22573.5,22579.5,0,0
2025-02-27T00:00:00+05:30,22579.5,22810,22530.5,22760,0,0
2025-02-28T00:00:00+05:30,22560.5,22560.5,22137,22360,0,0
2025-03-03T00:00:00+05:30,22360,22418,21827,22131.5,0,0
2025-03-04T00:00:00+05:30,22131.5,22215,21990.5,22081.5,0,0
2025-03-05T00:00:00+05:30,22081.5,22490.5,22081.5,22441,0,0
2025-03-06T00:00:00+05:30,22441,22644.5,22339.5,22532.5,0,0
2025-03-07T00:00:00+05:30,22532.5,22728,22490,22683.5,0,0
2025-03-10T00:00:00+05:30,22683.5,22718,22348.5,22425,0,0
2025-03-11T00:00:00+05:30,22425,22584.5,22290.5,22524.5,0,0
2025-03-12T00:00:00+05:30,22524.5,22604.5,22368,22556.5,0,0
2025-03-13T00:00:00+05:30,22556.5,22599,22335,22425,0,0
2025-03-14T00:00:00+05:30,22425.5,22588,22400,22554.5,0,0
2025-03-17T00:00:00+05:30,22605,22759.5,22496.5,22741.5,0,0
2025-03-18T00:00:00+05:30,22741.5,22949.5,22682,22930.5,0,0
2025-03-19T00:00:00+05:30,22930.5,23102.5,22872,23067,0,0
2025-03-20T00:00:00+05:30,23067,23234.5,23018,23201,0,0
2025-03-21T00:00:00+05:30,23201,23478.5,23166,23476.5,0,0
2025-03-24T00:00:00+05:30,23476.5,23750,23445.5,23749,0,0
2025-03-25T00:00:00+05:30,23749,23898,23669.5,23756,0,0
2025-03-26T00:00:00+05:30,23756,23771,23465,23493.5,0,0
2025-03-27T00:00:00+05:30,23493.5,23812.5,23464,23746,0,0
2025-03-28T00:00:00+05:30,23753,23782.5,23490,23490,0,0
2025-03-31T00:00:00+05:30,23464,23538,23326.5,23518,0,0
2025-04-01T00:00:00+05:30,23518,23652.5,23221,23293,0,0
2025-04-02T00:00:00+05:30,23293,23553,23125,23133,0,0
2025-04-03T00:00:00+05:30,23089.5,23393,23011.5,23226.5,0,0
2025-04-04T00:00:00+05:30,23226.5,23240.5,22313,22343.5,0,0
2025-04-07T00:00:00+05:30,21955,22754,21828.5,22478.5,0,0
2025-04-08T00:00:00+05:30,22478.5,22977,22315,22565,0,0
2025-04-09T00:00:00+05:30,22596,23438,22290,23390,0,0
2025-04-10T00:00:00+05:30,23390,23390,22710,23033.5,0,0
2025-04-11T00:00:00+05:30,23033.5,23158,22804,23120,0,0
2025-04-14T00:00:00+05:30,23120,23420,23120,23298.5,0,0
2025-04-15T00:00:00+05:30,23304,23452.5,23277.5,23314.5,0,0
2025-04-16T00:00:00+05:30,23314.5,23494.5,23233,23255,0,0
2025-04-17T00:00:00+05:30,23255,23979.5,23255,23880,0,0
2025-04-18T00:00:00+05:30,23880,23975,23811,23901,0,0
2025-04-21T00:00:00+05:30,23900,24193.5,23790,24075.5,0,0
2025-04-22T00:00:00+05:30,24075.5,24387,24074.5,24315,0,0
2025-04-23T00:00:00+05:30,24315,24456,24128.5,24267,0,0
2025-04-24T00:00:00+05:30,24267,24785.5,24223,24699.5,0,0
2025-04-25T00:00:00+05:30,24221,24546.5,23969,24220,0,0
2025-04-28T00:00:00+05:30,24196.5,24510.5,24176.5,24430,0,0
2025-04-29T00:00:00+05:30,24430,24581,24385,24465.5,0,0
2025-04-30T00:00:00+05:30,24465.5,24493.5,24230.5,24362,0,0
2025-05-01T00:00:00+05:30,24362,24464.5,24257.5,24360,0,0
2025-05-02T00:00:00+05:30,24360,24738,24313.5,24532,0,0
2025-05-05T00:00:00+05:30,24532,24645.5,24480,24581,0,0
2025-05-06T00:00:00+05:30,24594,24610.5,24125,24125,0,0
2025-05-07T00:00:00+05:30,24303.5,24555,24227,24337,0,0
2025-05-08T00:00:00+05:30,24352.5,24514.5,23754.5,23885,0,0
2025-05-09T00:00:00+05:30,23900,24236,23835.5,24087.5,0,0
2025-05-12T00:00:00+05:30,24549,25082,24406.5,24952.5,0,0
2025-05-13T00:00:00+05:30,24926.5,25042.5,24604,24747.5,0,0
2025-05-14T00:00:00+05:30,24734.5,24829,24577.5,24782,0,0
2025-05-15T00:00:00+05:30,24765.5,25222.5,24590.5,25210,0,0
2025-05-16T00:00:00+05:30,25189,25220,25003,25126.5,0,0
2025-05-19T00:00:00+05:30,25099,25118,24952,25102.5,0,0
2025-05-20T00:00:00+05:30,25102.5,25112,24749.5,24805,0,0
2025-05-21T00:00:00+05:30,24804.5,25028,24728.5,24762.5,0,0
2025-05-22T00:00:00+05:30,24779,24792,24507,24681,0,0
2025-05-23T00:00:00+05:30,24695,24960.5,24629,24841,0,0
2025-05-26T00:00:00+05:30,24920,25119,24910,25037.5,0,0
2025-05-27T00:00:00+05:30,25058.5,25099.5,24734.5,24869.5,0,0
2025-05-28T00:00:00+05:30,24859,24901,24696.5,24762.5,0,0
2025-05-29T00:00:00+05:30,24762.5,24990.5,24658,24918.5,0,0
2025-05-30T00:00:00+05:30,24950,24975.5,24801,24897,0,0
2025-06-02T00:00:00+05:30,24935,24935,24587,24892.5,0,0
2025-06-03T00:00:00+05:30,24875,24945,24610,24714,0,0
2025-06-04T00:00:00+05:30,24720.5,24761.5,24624.5,24747,0,0
2025-06-05T00:00:00+05:30,24747,25010.5,24711,24830,0,0
2025-06-06T00:00:00+05:30,24845.5,25188,24736,25153.5,0,0
2025-06-09T00:00:00+05:30,25143,25246,25143,25233,0,0
2025-06-10T00:00:00+05:30,25228,25267.5,25131,25198.5,0,0
2025-06-11T00:00:00+05:30,25180,25307.5,25136,25215,0,0
2025-06-12T00:00:00+05:30,25198.5,25272.5,24891,24997.5,0,0
2025-06-13T00:00:00+05:30,24742.5,24882.5,24560.5,24743,0,0
2025-06-16T00:00:00+05:30,24760,25099.5,24744,25010,0,0
2025-06-17T00:00:00+05:30,25005,25016.5,24795,24802.5,0,0
2025-06-18T00:00:00+05:30,24813,24982,24761,24809,0,0
2025-06-19T00:00:00+05:30,24770,24883,24713,24757,0,0
2025-06-20T00:00:00+05:30,24796,25159.5,24775,25022,0,0
2025-06-23T00:00:00+05:30,24939.5,25086,24818,25050,0,0
2025-06-24T00:00:00+05:30,25128.5,25349.5,25033.5,25159.5,0,0
2025-06-25T00:00:00+05:30,25168,25327,25130,25285.5,0,0
2025-06-26T00:00:00+05:30,25285.5,25707,25270.5,25704.5,0,0
2025-06-27T00:00:00+05:30,25740,25805,25642.5,25728.5,0,0
2025-06-30T00:00:00+05:30,25754,25798,25543,25632.5,0,0
2025-07-01T00:00:00+05:30,25634,25712,25601.5,25677,0,0
2025-07-02T00:00:00+05:30,25689.5,25705,25477,25556.5,0,0
2025-07-03T00:00:00+05:30,25559,25669,25479,25560,0,0
2025-07-04T00:00:00+05:30,25545,25575.5,25400,25512,0,0
2025-07-07T00:00:00+05:30,25500.5,25572.5,25445.5,25475.5,0,0
2025-07-08T00:00:00+05:30,25505,25634,25484,25590.5,0,0
2025-07-09T00:00:00+05:30,25588.5,25640,25510,25574,0,0
2025-07-10T00:00:00+05:30,25571.5,25583.5,25286,25336.5,0,0
2025-07-11T00:00:00+05:30,25300,25368.5,25177.5,25237,0,0
2025-07-14T00:00:00+05:30,25237,25237,25058.5,25171.5,0,0
2025-07-15T00:00:00+05:30,25176.5,25298,25138,25167.5,0,0
2025-07-16T00:00:00+05:30,25173.5,25289,25150.5,25282,0,0
2025-07-17T00:00:00+05:30,25270,25287,25085,25216,0,0
2025-07-18T00:00:00+05:30,25204,25215,24967.5,25022.5,0,0
2025-07-21T00:00:00+05:30,25010.5,25240,24908.5,25182,0,0
2025-07-22T00:00:00+05:30,25181,25198,25061,25140,0,0
2025-07-23T00:00:00+05:30,25138.5,25324,25109,25292.5,0,0
2025-07-24T00:00:00+05:30,25290,25304.5,24949.5,24968,0,0
2025-07-25T00:00:00+05:30,24966.5,25010,24752.5,24825,0,0
2025-07-28T00:00:00+05:30,24825,24919.5,24620.5,24650,0,0
2025-07-29T00:00:00+05:30,24657.5,24859,24631.5,24800,0,0
2025-07-30T00:00:00+05:30,24853.5,24910,24655,24655,0,0
2025-07-31T00:00:00+05:30,24655,25052,24625,24850,0,0
2025-08-01T00:00:00+05:30,24720.5,24841.5,24574.5,24670,0,0
2025-08-04T00:00:00+05:30,24670,24832.5,24626.5,24706.5,0,0
2025-08-05T00:00:00+05:30,24723.5,24773,24620,24637.5,0,0
2025-08-06T00:00:00+05:30,24657.5,24732.5,24412.5,24536.5,0,0
2025-08-07T00:00:00+05:30,24573,24724.5,24395,24633,0,0
2025-08-08T00:00:00+05:30,24648.5,24658.5,24390,24434,0,0
2025-08-11T00:00:00+05:30,24434,24639.5,24400,24552,0,0
2025-08-12T00:00:00+05:30,24564.5,24759,24471.5,24619,0,0
2025-08-13T00:00:00+05:30,24630.5,24743,24597,24710,0,0
2025-08-14T00:00:00+05:30,24687,24737.5,24552,24617.5,0,0
2025-08-18T00:00:00+05:30,24792,25080.5,24791.5,25012.5,0,0
2025-08-19T00:00:00+05:30,25003.5,25065,24923,25010.5,0,0
2025-08-20T00:00:00+05:30,24997.5,25111,24945,25085.5,0,0
2025-08-21T00:00:00+05:30,25082.5,25179,25045.5,25094,0,0
2025-08-22T00:00:00+05:30,25098,25104.5,24879,25000,0,0
2025-08-25T00:00:00+05:30,25000,25045,24915,24937,0,0
2025-08-26T00:00:00+05:30,24931.5,24938.5,24614,24632,0,0
2025-08-27T00:00:00+05:30,24627,24695,24530.5,24621,0,0
2025-08-28T00:00:00+05:30,24621,24798.5,24480,24708.5,0,0
2025-08-29T00:00:00+05:30,24700.5,24714,24528.5,24585,0,0
2025-09-01T00:00:00+05:30,24577.5,24805,24566.5,24745,0,0
2025-09-02T00:00:00+05:30,24754.5,24864,24555.5,24626,0,0
2025-09-03T00:00:00+05:30,24619,24845,24610.5,24835.5,0,0
2025-09-04T00:00:00+05:30,24881,25032,24794,24889,0,0
2025-09-05T00:00:00+05:30,24886,24921.5,24710,24825.5,0,0
2025-09-08T00:00:00+05:30,24825.5,24974,24825.5,24959.5,0,0
2025-09-09T00:00:00+05:30,24951.5,24984,24907.5,24924,0,0
2025-09-10T00:00:00+05:30,24970,25128.5,24940,25073,0,0
2025-09-11T00:00:00+05:30,25081.5,25192,25051,25187,0,0
2025-09-12T00:00:00+05:30,25187,25245,25132,25158.5,0,0
2025-09-15T00:00:00+05:30,25158.5,25203,25145,25167,0,0
2025-09-16T00:00:00+05:30,25159,25355.5,25140.5,25336,0,0
2025-09-17T00:00:00+05:30,25352,25564.5,25333,25475,0,0
2025-09-18T00:00:00+05:30,25490.5,25575,25416,25459,0,0
2025-09-19T00:00:00+05:30,25469,25483,25332,25369.5,0,0
2025-09-22T00:00:00+05:30,25360,25394,25247.5,25305,0,0
2025-09-23T00:00:00+05:30,25291.5,25330.5,25153.5,25217,0,0
2025-09-24T00:00:00+05:30,25216.5,25228.5,25046,25063.5,0,0
2025-09-25T00:00:00+05:30,25072.5,25247,24875,24927.5,0,0
2025-09-26T00:00:00+05:30,24837,24968.5,24660,24766.5,0,0
2025-09-29T00:00:00+05:30,24837.5,24855.5,24649.5,24688,0,0
2025-09-30T00:00:00+05:30,24688,24867,24581,24786.5,0,0
2025-10-01T00:00:00+05:30,24766,25017.5,24700,24947,0,0
2025-10-03T00:00:00+05:30,24947,25007.5,24865,24946.5,0,0
2025-10-06T00:00:00+05:30,24983,25196.5,24946.5,25146.5,0,0
2025-10-07T00:00:00+05:30,25152,25309,25135,25217,0,0
2025-10-08T00:00:00+05:30,25228.5,25284,25077.5,25123,0,0
2025-10-09T00:00:00+05:30,25131.5,25309,25101.5,25222.5,0,0
2025-10-10T00:00:00+05:30,25224,25468,25205,25205,0,0
2025-10-13T00:00:00+05:30,25205,25355,25205,25305,0,0
2025-10-14T00:00:00+05:30,25305,25360.5,25113,25265.5,0,0
2025-10-15T00:00:00+05:30,25272,25469.5,25257.5,25437.5,0,0
2025-10-16T00:00:00+05:30,25437.5,25714,25437.5,25601,0,0
2025-10-17T00:00:00+05:30,25601,25946,25586,25917.5,0,0
2025-10-20T00:00:00+05:30,25917.5,26038,25841,26013,0,0
2025-10-21T00:00:00+05:30,26013,26038,25841,25876.5,0,0
2025-10-22T00:00:00+05:30,25876.5,26342.5,25781,26295,0,0
2025-10-23T00:00:00+05:30,26265.5,26284.5,25945.5,26011.5,0,0
2025-10-24T00:00:00+05:30,26011.5,26050,25736,25865,0,0
2025-10-27T00:00:00+05:30,25865,26073,25865,26062,0,0
2025-10-28T00:00:00+05:30,26062,26074.5,25819,25936,0,0
2025-10-29T00:00:00+05:30,26125.5,26278,26112,26134,0,0
2025-10-30T00:00:00+05:30,26134,26197.5,25992,26042,0,0
2025-10-31T00:00:00+05:30,26042,26112,25803.5,25803.5,0,0
2025-11-03T00:00:00+05:30,25862,25938.5,25784.5,25897.5,0,0
2025-11-04T00:00:00+05:30,25897.5,25898,25648,25712,0,0
2025-11-05T00:00:00+05:30,25712,25839,25562,25785,0,0
2025-11-06T00:00:00+05:30,25785,25799,25470.5,25520,0,0
2025-11-07T00:00:00+05:30,25533.5,25640,25409,25548.5,0,0
2025-11-10T00:00:00+05:30,25575.5,25740.5,25526,25685,0,0
2025-11-11T00:00:00+05:30,25685,26019,25540,25977,0,0
2025-11-12T00:00:00+05:30,25977,26021.5,25898.5,25942,0,0
2025-11-13T00:00:00+05:30,25942,26100.5,25806,25841.5,0,0
2025-11-14T00:00:00+05:30,25841.5,26054,25805.5,26000,0,0
2025-11-17T00:00:00+05:30,26000.5,26109,25961.5,26008.5,0,0
2025-11-18T00:00:00+05:30,26008.5,26035,25861.5,25951,0,0
2025-11-19T00:00:00+05:30,25951,26141,25884,26068,0,0
2025-11-20T00:00:00+05:30,26135,26325,26065.5,26145,0,0
2025-11-21T00:00:00+05:30,26145,26223,26052,26185,0,0
2025-11-24T00:00:00+05:30,26185,26198.5,25959.5,25985,0,0
2025-11-25T00:00:00+05:30,25985,26207.5,25867,26098.5,0,0
2025-11-26T00:00:00+05:30,26165,26429.5,26112.5,26386.5,0,0
2025-11-27T00:00:00+05:30,26386.5,26508.5,26315,26424.5,0,0
2025-11-28T00:00:00+05:30,26410,26565,26368,26516,0,0
2025-12-01T00:00:00+05:30,26516,26535.5,26302.5,26342.5,0,0
2025-12-02T00:00:00+05:30,26342.5,26364,26150.5,26190,0,0
2025-12-03T00:00:00+05:30,26205,26212,26028.5,26097.5,0,0
2025-12-04T00:00:00+05:30,26097.5,26234.5,26052,26177.5,0,0
2025-12-05T00:00:00+05:30,26177.5,26370,26143.5,26332,0,0
2025-12-08T00:00:00+05:30,26332,26340,25926.5,25952.5,0,0
2025-12-09T00:00:00+05:30,25952.5,26033.5,25858.5,25920,0,0
2025-12-10T00:00:00+05:30,25920,26051,25828,25966.5,0,0
2025-12-11T00:00:00+05:30,25966.5,26149.5,25788.5,26140,0,0
2025-12-12T00:00:00+05:30,26140,26154,25961,26025,0,0
2025-12-15T00:00:00+05:30,26037,26124.5,25980,26085,0,0
2025-12-16T00:00:00+05:30,26085,26085.5,25906,25949.5,0,0
2025-12-17T00:00:00+05:30,25949.5,25999.5,25821,25872.5,0,0
2025-12-18T00:00:00+05:30,25872.5,26012.5,25795.5,25926.5,0,0
2025-12-19T00:00:00+05:30,25926.5,26344,25926.5,26172,0,0
2025-12-22T00:00:00+05:30,26172.5,26244,26145.5,26227,0,0
2025-12-23T00:00:00+05:30,26226.5,26282,26161.5,26255,0,0
2025-12-24T00:00:00+05:30,26255,26270.5,26151,26154,0,0
2025-12-25T00:00:00+05:30,26154,26182,26091.5,26131,0,0
2025-12-26T00:00:00+05:30,26135.5,26164,26039.5,26121.5,0,0
2025-12-29T00:00:00+05:30,26121.5,26121.5,25905,25943.5,0,0
2025-12-30T00:00:00+05:30,25943.5,26155,25881,26132,0,0
2025-12-31T00:00:00+05:30,26116,26399,26110,26347.5,0,0
2026-01-01T00:00:00+05:30,26347.5,26371.5,26259.5,26291,0,0
2026-01-02T00:00:00+05:30,26291,26541,26291,26521.5,0,0
2026-01-05T00:00:00+05:30,26521.5,26556,26305,26413,0,0
2026-01-06T00:00:00+05:30,26413,26424.5,26165,26233.5,0,0
2026-01-07T00:00:00+05:30,26211.5,26286.5,26166,26182.5,0,0
2026-01-08T00:00:00+05:30,26182.5,26195,25949,26003,0,0
2026-01-09T00:00:00+05:30,25995.5,26028,25710.5,25840.5,0,0
2026-01-12T00:00:00+05:30,25799,25966,25563,25942.5,0,0
2026-01-13T00:00:00+05:30,25935,25949,25655,25760,0,0
2026-01-14T00:00:00+05:30,25752.5,25838.5,25654.5,25812.5,0,0
2026-01-15T00:00:00+05:30,25812.5,25859,25732,25788.5,0,0
2026-01-16T00:00:00+05:30,25788.5,25950.5,25646,25702,0,0
2026-01-19T00:00:00+05:30,25674.5,25674.5,25518,25616,0,0
2026-01-20T00:00:00+05:30,25616,25626,25211,25249.5,0,0
2026-01-21T00:00:00+05:30,25249.5,25351,24958.5,25297.5,0,0
2026-01-22T00:00:00+05:30,25297.5,25467,25194.5,25396,0,0
2026-01-23T00:00:00+05:30,25396,25413.5,25047,25111.5,0,0
2026-01-27T00:00:00+05:30,25089.5,26157.5,24955,25653.5,0,0
2026-01-28T00:00:00+05:30,25453,25501,25287,25397.5,0,0
2026-01-29T00:00:00+05:30,25404.5,25553,25239.5,25457,0,0
2026-01-30T00:00:00+05:30,25457,25519.5,25269,25420,0,0
