date,nifty_gap,nifty_ret,gift_ret,crude_ret,usdinr_ret
2024-12-30,-0.0006931273552396807,-0.007101000585328371,-0.011605952072459558,0.012187239118135,0.0012540649382571814
2024-12-31,-0.003571621510809473,-4.229250767129392e-06,0.002045529545707115,0.009287235796328803,0.001223384266066727
2025-01-01,-0.0003024377989929404,0.004140320806365605,0.006341894418169079,0.0008105698749711832,-0.00037850665022212405
2025-01-02,0.0016875013210031153,0.018599976460843735,0.011364704783298062,0.0205299913008621,0.0010769119864909484
2025-01-03,0.0003203468867460754,-0.007631787447708154,-0.002486687150799359,0.011679425692365061,0.00020360970997793118
2025-01-06,0.0017086176947689303,-0.01632516180719982,-0.0136201474642161,-0.010251647231365138,-0.0002908837067458462
2025-01-07,0.0027000214094224746,0.003881760306713088,-0.002927828022756389,0.012132820383710686,-0.0002618677001159309
2025-01-08,0.001633141969007364,-0.0007996312417274388,0.0007169517208188741,-0.01229136180298848,0.0018606820114179115
2025-01-09,-0.0005996153351809614,-0.0068812492953755225,-0.005304940105986605,0.010253264366287979,-0.0004357868199876425
2025-01-10,0.0010790512194358292,-0.004046174437066828,-0.011552198039694471,0.03151326570607659,0.0015099163703748623
2025-01-13,-0.010127287806098098,-0.014857063581440453,-0.00259732042593669,0.04257228668237912,0.006824188643758999
2025-01-14,0.003457162454258499,0.003895210493337629,0.0016107040109699564,-0.018532667496232384,-0.000634188548208508
2025-01-15,0.0032050688158393025,0.0016016645210618786,0.0038337610272108,0.023910196623945994,-0.002251733053030091
2025-01-16,0.007042244836870177,0.004238587753573933,-0.002847144612244046,-0.009612657765330391,0.0019633325203740207
2025-01-17,-0.0014896254866100071,-0.004669469948432585,-0.0013085497346262277,-0.013258886046196301,0.0
2025-01-20,0.0037510583067415916,0.006081919239174112,0.007804437872809476,-0.01946752105991956,-0.0004616139258567059
2025-01-21,0.0032886888582040175,-0.013806738277095545,-0.014243360552973606,-0.007437235464680806,0.0004904577222790925
2025-01-22,0.0032304391567270076,0.005660474187066116,0.00038880249323380134,-0.00045714286510402835,-0.0032067513648930046
2025-01-23,-0.0011688794241517238,0.0021570001913706685,0.005985721084202223,-0.011805426489310798,0.0008387927661448072
