entry_date,expiry_date,S_entry,S_exit,atm_strike,short_call_k,short_put_k,long_call_k,long_put_k,straddle_pnl,strangle_pnl,condor_pnl,straddle_credit,strangle_credit,condor_credit,straddle_cost,strangle_cost,condor_cost,net_straddle_pnl,net_strangle_pnl,net_condor_pnl
2025-05-16,2025-05-22,25019.8,24609.7,25000,25400,24600,25750,24200,-30.599999999999284,106.9,69.75,359.7,106.9,69.75,1.21582,1.06414,1.6641400000000002,-31.815819999999285,105.83586000000001,68.08586
2025-05-23,2025-05-29,24853.15,24833.6,24850,25300,24450,25550,24050,389.19999999999857,116.1,75.3,405.6,116.1,75.3,1.24336,1.06966,1.6696600000000001,387.9566399999986,115.03034,73.63034
2025-05-30,2025-06-05,24750.7,24750.9,24750,25200,24350,25500,24050,409.84999999999854,118.3,77.1,410.75,118.3,77.1,1.24645,1.07098,1.6709800000000001,408.60354999999856,117.22901999999999,75.42902
2025-06-06,2025-06-12,25003.05,24888.2,25000,25350,24650,25600,24350,220.1000000000007,99.5,65.15,331.9,99.5,65.15,1.1991399999999999,1.0597,1.6597000000000002,218.9008600000007,98.4403,63.490300000000005
2025-06-13,2025-06-19,24718.6,24793.25,24700,25100,24300,25350,23850,265.45,105.95,66.5,358.7,105.95,66.5,1.21522,1.06357,1.66357,264.23478,104.88643,64.83643000000001
2025-06-20,2025-06-26,25112.4,25549.0,25100,25450,24750,25650,24300,-141.04999999999995,-8.549999999999997,-42.65,307.95000000000005,90.45,56.35,1.18477,1.05427,1.6542700000000001,-142.23476999999994,-9.604269999999998,-44.304269999999995
2025-06-27,2025-07-03,25637.8,25405.3,25650,25950,25350,26150,25050,24.499999999999318,80.25,49.6,269.20000000000005,80.25,49.6,1.16152,1.04815,1.64815,23.33847999999932,79.20185,47.95185
2025-07-04,2025-07-10,25461.0,25355.25,25450,25800,25200,26000,24900,178.55,79.2,50.45,273.3,79.2,50.45,1.16398,1.04752,1.64752,177.38602,78.15248,48.80248
2025-07-11,2025-07-17,25149.85,25111.45,25150,25450,24900,25700,24650,205.8500000000007,73.05,46.449999999999996,244.39999999999998,73.05,46.449999999999996,1.1466399999999999,1.04383,1.6438300000000001,204.7033600000007,72.00617,44.806169999999995
2025-07-18,2025-07-24,24968.4,25062.1,24950,25300,24700,25500,24450,151.80000000000143,72.85,43.39999999999999,263.9,72.85,43.39999999999999,1.15834,1.04371,1.64371,150.64166000000142,71.80628999999999,41.75628999999999
2025-07-25,2025-07-31,24837.0,24768.35,24850,25150,24600,25400,24350,156.34999999999854,71.2,44.5,238.0,71.2,44.5,1.1428,1.04272,1.6427200000000002,155.20719999999855,70.15728,42.85728
2025-08-01,2025-08-07,24565.35,24596.15,24550,24900,24250,25100,23950,248.29999999999853,85.85,54.599999999999994,294.45,85.85,54.599999999999994,1.1766699999999999,1.05151,1.65151,247.12332999999853,84.79849,52.94848999999999
2025-08-08,2025-08-14,24363.3,24631.3,24350,24700,24100,24900,23850,-18.94999999999925,71.5,44.0,262.35,71.5,44.0,1.15741,1.0429,1.6429,-20.10740999999925,70.4571,42.3571
2025-08-14,2025-08-21,24631.3,25083.75,24650,24950,24350,25200,24000,-150.89999999999998,-45.849999999999994,-73.55,282.85,87.9,60.2,1.16971,1.05274,1.65274,-152.06971,-46.902739999999994,-75.20273999999999
2025-08-21,2025-08-28,25083.75,24500.9,25100,25350,24850,25550,24600,-356.9999999999985,-273.94999999999857,-199.05,242.1,75.15,50.95,1.14526,1.04509,1.6450900000000002,-358.14525999999853,-274.9950899999986,-200.69509000000002
2025-08-26,2025-09-02,24712.05,24579.6,24700,25050,24450,25300,24150,147.59999999999854,77.44999999999999,47.69999999999999,268.0,77.44999999999999,47.69999999999999,1.1608,1.04647,1.64647,146.43919999999855,76.40352999999999,46.05352999999999
2025-09-03,2025-09-09,24715.05,24868.6,24700,24950,24500,25150,24250,54.900000000001455,70.19999999999999,47.999999999999986,223.5,70.19999999999999,47.999999999999986,1.1341,1.04212,1.64212,53.76590000000145,69.15787999999999,46.35787999999999
2025-09-10,2025-09-16,24973.1,25239.1,24950,25250,24750,25450,24550,-58.54999999999853,61.4,39.25,230.55,61.4,39.25,1.13833,1.03684,1.63684,-59.68832999999854,60.36316,37.61316
2025-09-17,2025-09-23,25330.25,25169.5,25350,25600,25100,25800,24900,38.55000000000001,61.349999999999994,38.89999999999999,219.05,61.349999999999994,38.89999999999999,1.13143,1.03681,1.63681,37.41857000000001,60.31318999999999,37.263189999999994
2025-09-24,2025-09-30,25056.9,24611.1,25050,25350,24850,25500,24650,-223.70000000000147,-185.40000000000146,-168.3,215.2,53.5,31.700000000000003,1.12912,1.0321,1.6321,-224.82912000000147,-186.43210000000147,-169.93210000000002
2025-09-30,2025-10-07,24611.1,25108.3,24600,24950,24350,25100,24150,-238.1499999999993,-91.94999999999928,-111.55000000000001,270.15,66.35,38.449999999999996,1.16209,1.03981,1.63981,-239.3120899999993,-92.98980999999928,-113.18981000000001
2025-10-08,2025-10-14,25046.15,25145.5,25050,25300,24850,25450,24650,107.9,59.95,36.900000000000006,203.4,59.95,36.900000000000006,1.12204,1.03597,1.6359700000000001,106.77796000000001,58.914030000000004,35.264030000000005
2025-10-14,2025-10-20,25145.5,25843.15,25150,25450,24850,25650,24550,-410.45000000000147,-310.10000000000144,-144.95,282.7,83.05000000000001,55.05000000000001,1.1696199999999999,1.04983,1.6498300000000001,-411.6196200000015,-311.14983000000143,-146.59983
2025-10-21,2025-10-28,25868.6,25936.2,25850,26150,25600,26350,25350,173.29999999999927,76.2,50.550000000000004,259.5,76.2,50.550000000000004,1.1557,1.04572,1.64572,172.14429999999928,75.15428,48.90428000000001
2025-10-29,2025-11-04,26053.9,25597.65,26050,26450,25800,26650,25550,-147.89999999999856,-122.34999999999854,-152.14999999999856,304.45,80.0,50.2,1.1826699999999999,1.048,1.6480000000000001,-149.08266999999856,-123.39799999999855,-153.79799999999855
2025-11-04,2025-11-11,25597.65,25694.95,25600,25950,25300,26150,25050,193.6499999999993,76.6,47.55,288.6,76.6,47.55,1.17316,1.04596,1.64596,192.4768399999993,75.55404,45.904039999999995
2025-11-12,2025-11-18,25875.8,25910.05,25900,26200,25600,26400,25300,256.75000000000074,74.85,47.8,266.8,74.85,47.8,1.16008,1.04491,1.64491,255.58992000000075,73.80508999999999,46.155089999999994
2025-11-19,2025-11-25,26052.65,25884.8,26050,26350,25750,26600,25500,122.54999999999927,84.3,57.25,287.75,84.3,57.25,1.17265,1.05058,1.6505800000000002,121.37734999999927,83.24942,55.59942
2025-11-26,2025-12-02,26205.3,26032.2,26200,26500,25950,26700,25650,97.20000000000073,79.4,54.550000000000004,265.0,79.4,54.550000000000004,1.159,1.04764,1.64764,96.04100000000072,78.35236,52.90236
2025-12-03,2025-12-09,25986.0,25839.65,26000,26300,25750,26500,25550,81.85000000000144,64.6,41.099999999999994,242.2,64.6,41.099999999999994,1.14532,1.03876,1.63876,80.70468000000145,63.56124,39.46124
2025-12-10,2025-12-16,25758.0,25860.1,25750,26050,25500,26300,25250,148.40000000000146,77.30000000000001,52.40000000000001,258.5,77.30000000000001,52.40000000000001,1.1551,1.04638,1.6463800000000002,147.24490000000145,76.25362000000001,50.75362000000001
2025-12-17,2025-12-23,25818.55,26177.15,25800,26100,25600,26300,25400,-141.05000000000146,-11.55000000000146,-33.15000000000146,236.1,65.6,43.99999999999999,1.14166,1.03936,1.6393600000000002,-142.19166000000146,-12.589360000001461,-34.789360000001466
2025-12-23,2025-12-30,26177.15,25938.85,26200,26450,25950,26600,25700,-38.150000000001455,49.599999999998545,28.799999999998544,223.0,60.75,39.95,1.1338,1.03645,1.6364500000000002,-39.283800000001456,48.56354999999854,27.163549999998544
2025-12-31,2026-01-06,26129.6,26178.7,26150,26350,25950,26500,25750,171.79999999999927,62.050000000000004,41.800000000000004,200.5,62.050000000000004,41.800000000000004,1.1203,1.03723,1.6372300000000002,170.6796999999993,61.01277,40.16277
2026-01-07,2026-01-13,26140.75,25732.3,26150,26350,25950,26500,25800,-225.05000000000072,-159.75000000000074,-113.10000000000002,192.65,57.95,36.900000000000006,1.11559,1.03477,1.63477,-226.16559000000072,-160.78477000000075,-114.73477000000003
2026-01-13,2026-01-20,25732.3,25232.5,25750,26050,25450,26300,25150,-246.39999999999998,-137.25,-165.25,271.1,80.25,52.25,1.16266,1.04815,1.64815,-247.56265999999997,-138.29815,-166.89815
2026-01-20,2026-01-27,25232.5,25175.4,25250,25600,24900,25900,24500,255.90000000000146,102.55,66.15,330.5,102.55,66.15,1.1983,1.06153,1.6615300000000002,254.70170000000147,101.48846999999999,64.48847
2026-01-29,2026-02-03,25418.9,25727.55,25400,25850,25000,26150,24650,49.55000000000075,103.75,66.05,377.1,103.75,66.05,1.22626,1.06225,1.66225,48.323740000000754,102.68775,64.38775
2026-02-04,2026-02-10,25776.0,25935.15,25800,26150,25400,26450,25000,189.09999999999854,94.55,57.75,324.25,94.55,57.75,1.19455,1.05673,1.65673,187.90544999999855,93.49327,56.09327
2026-02-11,2026-02-17,25953.85,25725.4,25950,26250,25700,26450,25400,16.950000000001467,70.15,41.0,241.55,70.15,41.0,1.14493,1.04209,1.64209,15.805070000001466,69.10791,39.35791
2026-02-18,2026-02-24,25819.35,25424.65,25800,26100,25500,26300,25150,-113.94999999999857,1.4495071809506044e-12,-30.14999999999855,261.4,75.35,45.199999999999996,1.1568399999999999,1.04521,1.64521,-115.10683999999857,-1.0452099999985505,-31.795209999998548
2026-02-24,2026-03-02,25424.65,24865.7,25400,25850,25050,26100,24700,-169.19999999999925,-84.84999999999927,-122.94999999999928,365.1,99.45,61.35,1.21906,1.05967,1.65967,-170.41905999999926,-85.90966999999927,-124.60966999999928
2026-03-04,2026-03-10,24473.95,24286.15,24450,25050,23700,25400,23250,458.9500000000014,185.4,132.95,622.8,185.4,132.95,1.37368,1.11124,1.71124,457.57632000000143,184.28876,131.23875999999998
2026-03-11,2026-03-17,23848.2,23558.8,23850,24450,23150,24850,22550,298.0499999999993,170.14999999999998,107.29999999999998,589.25,170.14999999999998,107.29999999999998,1.35355,1.10209,1.70209,296.6964499999993,169.04790999999997,105.59790999999998
2026-03-18,2026-03-24,23764.1,22958.4,23750,24200,23250,24500,22700,-372.39999999999856,-166.89999999999856,-213.94999999999857,419.2,124.7,77.65,1.25152,1.0748199999999999,1.67482,-373.6515199999986,-167.97481999999854,-215.62481999999858
2026-03-23,2026-03-30,22492.65,22379.2,22500,23350,21500,23900,20850,730.3500000000007,239.14999999999998,139.09999999999997,851.15,239.14999999999998,139.09999999999997,1.5106899999999999,1.14349,1.74349,728.8393100000008,238.00651,137.35650999999996
2026-03-30,2026-04-07,22379.2,23129.95,22400,23200,21500,23750,21400,39.899999999999295,212.15,152.25,769.85,212.15,152.25,1.46191,1.12729,1.72729,38.43808999999929,211.02271000000002,150.52271
2026-04-07,2026-04-13,23129.95,23818.9,23150,23800,22350,24150,21650,8.449999999998568,180.54999999999853,111.59999999999853,677.35,199.45,130.5,1.40641,1.11967,1.71967,7.043589999998567,179.43032999999852,109.88032999999854
2026-04-15,2026-04-21,24211.9,24580.6,24200,24650,23700,24950,23300,62.8500000000015,127.25,83.9,443.45000000000005,127.25,83.9,1.26607,1.07635,1.67635,61.5839300000015,126.17365,82.22365
2026-04-22,2026-04-28,24367.65,24016.5,24350,24850,23900,25150,23550,101.64999999999998,118.55000000000001,76.80000000000001,435.15,118.55000000000001,76.80000000000001,1.26109,1.07113,1.67113,100.38890999999998,117.47887000000001,75.12887
2026-04-28,2026-05-05,24016.5,24052.15,24000,24500,23550,24800,23200,365.04999999999853,112.8,73.1,417.2,112.8,73.1,1.2503199999999999,1.06768,1.66768,363.79967999999855,111.73232,71.43231999999999
