date,close_to_close_20d,parkinson_20d,garman_klass_20d,rogers_satchell_20d,yang_zhang_20d,parkinson_c2c_ratio
2024-07-31,0.0875,0.0971,0.0968,0.103,0.1141,1.1104
2024-08-01,0.0856,0.0973,0.097,0.103,0.1123,1.1364
2024-08-02,0.0972,0.0978,0.0976,0.1036,0.1169,1.0062
2024-08-05,0.1372,0.1044,0.1048,0.1105,0.1357,0.7607
2024-08-06,0.1374,0.1104,0.1116,0.1176,0.1428,0.8039
2024-08-07,0.1439,0.1108,0.1124,0.1185,0.15,0.7701
2024-08-08,0.1454,0.1097,0.1108,0.1157,0.1482,0.7543
2024-08-09,0.1501,0.1085,0.1095,0.1139,0.1516,0.7232
2024-08-12,0.1475,0.1085,0.11,0.1144,0.1518,0.7356
2024-08-13,0.1495,0.1102,0.1107,0.1147,0.1518,0.737
2024-08-14,0.1494,0.1104,0.1109,0.1148,0.152,0.7385
2024-08-16,0.1585,0.1111,0.1126,0.1173,0.1554,0.7007
2024-08-19,0.1539,0.1074,0.1113,0.1171,0.1547,0.6978
2024-08-20,0.1549,0.1061,0.1095,0.1155,0.1531,0.6848
2024-08-21,0.155,0.0969,0.0971,0.0955,0.1408,0.6255
2024-08-22,0.1546,0.0957,0.0953,0.0936,0.1398,0.619
2024-08-23,0.1545,0.0941,0.0944,0.0931,0.1357,0.6089
2024-08-26,0.1446,0.0868,0.0915,0.0922,0.1334,0.6005
2024-08-27,0.1446,0.0851,0.0897,0.0906,0.132,0.5884
2024-08-28,0.1447,0.085,0.0895,0.0901,0.1317,0.5874
2024-08-29,0.1447,0.0859,0.0903,0.0907,0.1324,0.5933
2024-08-30,0.1449,0.0854,0.0897,0.0902,0.1322,0.5895
2024-09-02,0.1379,0.0846,0.0888,0.0893,0.1265,0.6138
2024-09-03,0.0922,0.0748,0.0787,0.0795,0.0983,0.8113
2024-09-04,0.0926,0.0658,0.0684,0.0678,0.0964,0.7106
2024-09-05,0.086,0.0656,0.0676,0.0664,0.0885,0.763
2024-09-06,0.0927,0.069,0.0699,0.0679,0.0902,0.7441
2024-09-09,0.0873,0.0705,0.0713,0.0693,0.0851,0.8077
2024-09-10,0.0876,0.0697,0.0701,0.068,0.0835,0.795
2024-09-11,0.0832,0.0691,0.071,0.0696,0.0842,0.8308
2024-09-12,0.1018,0.0802,0.0808,0.0783,0.0931,0.7878
2024-09-13,0.0892,0.0747,0.0752,0.0726,0.0855,0.838
2024-09-16,0.0892,0.0746,0.0752,0.0725,0.0849,0.8366
2024-09-17,0.0883,0.0742,0.0747,0.0722,0.0844,0.8404
2024-09-18,0.0887,0.0751,0.0764,0.074,0.0856,0.8468
2024-09-19,0.0887,0.0773,0.0793,0.0774,0.0884,0.8719
2024-09-20,0.1001,0.0846,0.0861,0.0835,0.0946,0.8456
2024-09-23,0.099,0.0838,0.0854,0.0828,0.094,0.8472
2024-09-24,0.099,0.084,0.0856,0.0831,0.0944,0.8488
2024-09-25,0.099,0.0839,0.085,0.0824,0.0944,0.8474
2024-09-26,0.1012,0.0848,0.085,0.082,0.0944,0.8385
2024-09-27,0.1017,0.0852,0.0854,0.0823,0.0942,0.8377
2024-09-30,0.1158,0.0893,0.0886,0.085,0.0982,0.7711
2024-10-01,0.1159,0.0901,0.0897,0.0863,0.0993,0.7774
2024-10-03,0.1391,0.0958,0.0964,0.0943,0.1131,0.6885
2024-10-04,0.1428,0.1046,0.1077,0.1086,0.124,0.7324
2024-10-07,0.1401,0.1069,0.1099,0.1106,0.126,0.7627
2024-10-08,0.143,0.1083,0.1111,0.1116,0.1269,0.757
2024-10-09,0.1423,0.1092,0.1121,0.1133,0.1282,0.7671
2024-10-10,0.1412,0.1082,0.1111,0.1124,0.1278,0.7661
2024-10-11,0.1241,0.1003,0.1044,0.1066,0.1207,0.8085
2024-10-14,0.1266,0.1004,0.1042,0.1063,0.1207,0.7925
2024-10-15,0.1268,0.1014,0.1051,0.1069,0.1214,0.8001
2024-10-16,0.1269,0.1024,0.1063,0.1081,0.1224,0.8068
2024-10-17,0.1299,0.1043,0.106,0.107,0.1225,0.8027
2024-10-18,0.1309,0.106,0.1072,0.1077,0.1233,0.8095
2024-10-21,0.1177,0.1032,0.1048,0.1059,0.121,0.877
2024-10-22,0.1196,0.1095,0.1096,0.1097,0.1241,0.9161
2024-10-23,0.1192,0.1108,0.1113,0.1126,0.127,0.9296
2024-10-24,0.1177,0.1107,0.1114,0.1129,0.1269,0.9404
