date,spot_close,total_volume_lots,total_oi_lots_clean,volume_weighted_strike,vwks,oi_data_quality,oi_strikes_dropped_negative,oi_strikes_total
2025-01-02,24188.65,220665925.3,7977594.0,23988.64,0.99173,clean,0,927
2025-01-03,24004.75,41199335.4,5557422.7,24164.31,1.00665,clean,0,797
2025-01-06,23616.05,73677516.3,6213956.7,23822.38,1.00874,clean,0,852
2025-01-07,23707.9,55980455.9,6720269.3,23741.57,1.00142,clean,0,852
2025-01-08,23688.95,129105933.4,7316553.3,23683.35,0.99976,clean,0,902
2025-01-09,23526.5,208494455.4,8565707.0,23619.49,1.00395,clean,0,893
2025-01-10,23431.5,55501529.9,4986805.3,23570.4,1.00593,clean,0,784
2025-01-13,23085.95,58039908.5,6433783.0,23410.9,1.01408,clean,0,864
2025-01-14,23176.05,52868415.2,7151071.3,23280.13,1.00449,clean,0,891
2025-01-15,23213.2,100284539.7,7532826.0,23234.36,1.00091,clean,0,864
2025-01-16,23311.8,173857793.3,8568373.0,23339.51,1.00119,clean,0,896
2025-01-17,23203.2,47846553.7,4839720.3,23289.07,1.0037,clean,0,803
2025-01-20,23344.75,44671180.6,5535632.7,23314.9,0.99872,clean,0,751
2025-01-21,23024.65,77047547.7,6124018.3,23289.94,1.01152,clean,0,785
2025-01-22,23155.35,101704722.4,6895313.3,23134.65,0.99911,clean,0,825
2025-01-23,23205.35,189917057.2,8194360.0,23183.08,0.99904,clean,0,822
2025-01-24,23092.2,41893691.2,4488899.7,23297.23,1.00888,clean,0,737
2025-01-27,22829.15,40911950.0,5204521.0,23072.22,1.01065,clean,0,763
2025-01-28,22957.25,46984691.5,5677130.7,23037.23,1.00348,clean,0,787
2025-01-29,23163.1,58795703.3,5979878.3,23124.02,0.99831,clean,0,787
2025-01-30,23249.5,150388459.3,6419094.3,23218.52,0.99867,clean,0,835
2025-01-31,23508.4,26236756.4,4381719.0,23448.46,0.99745,clean,0,732
2025-02-01,23482.15,68342946.2,5965016.3,23563.85,1.00348,clean,0,783
2025-02-03,23361.05,51916466.1,6744108.0,23413.87,1.00226,clean,0,777
2025-02-04,23739.25,67850635.5,6862256.0,23513.37,0.99048,clean,0,819
2025-02-05,23696.3,80217676.9,7774322.7,23664.37,0.99865,clean,0,864
2025-02-06,23603.35,190582230.3,8709274.0,23644.58,1.00175,clean,0,851
2025-02-07,23559.95,52615565.7,4849504.0,23596.12,1.00154,clean,0,763
2025-02-10,23381.6,48333868.3,5793927.3,23490.16,1.00464,clean,0,766
2025-02-11,23071.8,69554418.5,6504420.3,23271.86,1.00867,clean,0,833
2025-02-12,23045.25,140691602.3,7052032.7,23064.93,1.00085,clean,0,900
2025-02-13,23031.4,250236450.5,7622090.3,23105.01,1.0032,clean,0,913
2025-02-14,22929.25,63966212.7,5313003.3,23000.88,1.00312,clean,0,797
2025-02-17,22959.5,61396882.5,5812652.3,22946.93,0.99945,clean,0,889
2025-02-18,22945.3,56869830.9,6237816.0,22955.85,1.00046,clean,0,815
2025-02-19,22932.9,100328118.4,6556050.3,22956.85,1.00104,clean,0,851
2025-02-20,22913.15,177360192.3,7263786.7,22924.32,1.00049,clean,0,866
2025-02-21,22795.9,45556090.6,5224642.0,22874.53,1.00345,clean,0,892
2025-02-24,22553.35,51377315.0,6444332.7,22797.9,1.01084,clean,0,852
2025-02-25,22547.55,49140505.1,6633148.7,22723.92,1.00782,clean,0,904
